jugador,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salario
Jordan Clarkson,SG,29,UTA,79,1,2141,466,1113,0.419,190,597,0.318,276,516,0.535,0.504,144,174,0.828,67,206,273,194,66,16,129,149,1266,14.9,0.532,0.536,0.156,3.5,10.2,7,14.5,1.5,0.7,9.8,26.8,1.5,2,3.5,0.079,0.5,-1.2,-0.6,0.7,13340000
Nic Claxton,C,22,BRK,47,19,974,178,264,0.674,0,0,0,178,264,0.674,0.674,54,93,0.581,91,173,264,43,24,51,38,110,410,18.6,0.672,0,0.352,10.4,18.9,14.8,6.4,1.2,4.7,11.1,15.1,2.3,1.2,3.5,0.171,0.3,0.2,0.5,0.6,8500000
Amir Coffey,SG,24,LAC,69,30,1567,211,466,0.453,96,254,0.378,115,212,0.542,0.556,101,117,0.863,26,171,197,124,38,15,45,87,619,13,0.598,0.545,0.251,1.8,11.2,6.7,11.4,1.2,0.8,8,15.8,2.3,1.5,3.8,0.116,-0.3,0,-0.3,0.7,3395062
John Collins,PF,24,ATL,54,53,1663,339,644,0.526,64,176,0.364,275,468,0.588,0.576,134,169,0.793,93,329,422,98,33,56,60,164,876,18.7,0.61,0.273,0.262,6.2,21.5,13.9,8.9,1,3,7.7,20.5,3.6,1.4,5.1,0.146,1.5,0,1.5,1.5,23500000
Zach Collins,C,24,SAS,28,4,502,76,155,0.49,14,41,0.341,62,114,0.544,0.535,52,65,0.8,46,107,153,61,13,23,45,67,218,16.4,0.594,0.265,0.419,9.5,22.5,16,16.3,1.2,3.8,19.7,19.2,0.6,0.7,1.2,0.118,-1.2,1,-0.2,0.2,7350000
Mike Conley,PG,34,UTA,72,72,2058,344,791,0.435,169,414,0.408,175,377,0.464,0.542,129,162,0.796,47,170,217,385,96,21,123,142,986,17.2,0.572,0.523,0.205,2.6,8.8,5.8,27.7,2.3,0.9,12.5,20.9,4.4,2.3,6.7,0.157,2.4,0.7,3.1,2.7,22680000
Pat Connaughton,SF,29,MIL,65,19,1691,227,496,0.458,146,370,0.395,81,126,0.643,0.605,45,54,0.833,45,228,273,82,59,15,35,86,645,13.4,0.62,0.746,0.109,2.9,14,8.6,6.6,1.7,0.9,6.3,14,2.8,1.6,4.4,0.125,0.8,0.3,1.2,1.4,5728393
Robert Covington,PF,31,TOT,71,42,1940,209,498,0.42,128,339,0.378,81,159,0.509,0.548,58,69,0.841,59,332,391,92,103,91,75,190,604,12.4,0.572,0.681,0.139,3.3,18.9,11,6.8,2.6,4.4,12.4,13.5,0.8,2.4,3.2,0.08,-1.6,1.7,0.2,1.1,12307692
Torrey Craig,SF,31,TOT,78,16,1596,200,441,0.454,77,234,0.329,123,207,0.594,0.541,39,52,0.75,86,224,310,91,46,36,67,151,516,11,0.556,0.531,0.118,5.9,15.4,10.7,7.6,1.4,2,12.6,14.3,0.9,1.4,2.3,0.07,-1.7,-0.1,-1.8,0.1,5121951
Jae Crowder,PF,31,PHO,67,67,1886,217,544,0.399,127,365,0.348,90,179,0.503,0.516,71,90,0.789,30,324,354,124,95,30,55,173,632,11.3,0.541,0.671,0.165,1.8,18,10.1,8.3,2.4,1.4,8.6,14.6,0.9,3.4,4.3,0.11,-1.3,2.4,1.1,1.5,10183800
Cade Cunningham,SG,20,DET,64,64,2088,429,1031,0.416,114,363,0.314,315,668,0.472,0.471,142,168,0.845,58,296,354,356,78,43,234,200,1114,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2,10552800
Seth Curry,SG,31,TOT,64,64,2135,360,739,0.487,158,374,0.422,202,365,0.553,0.594,82,94,0.872,21,179,200,230,53,14,109,148,960,13.7,0.615,0.506,0.127,1.1,9.1,5.2,16.3,1.2,0.6,12.3,18.5,2.7,1.5,4.2,0.095,0.3,-0.9,-0.6,0.8,8496653
Stephen Curry,PG,33,GSW,64,64,2211,535,1224,0.437,285,750,0.38,250,474,0.527,0.554,275,298,0.923,34,301,335,404,85,23,206,130,1630,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1,13.2,30.8,4.6,3.4,8,0.173,5.4,0.4,5.8,4.4,48070014
Anthony Davis,C,28,LAL,40,40,1404,370,695,0.532,13,70,0.186,357,625,0.571,0.542,174,244,0.713,106,288,394,122,49,90,82,97,927,23.9,0.578,0.101,0.351,8.1,22,15.1,14.7,1.7,5.7,9.3,27.1,2.6,2,4.5,0.155,2.6,1.2,3.8,2,37980720
Terence Davis,SG,24,SAC,30,11,536,113,267,0.423,49,149,0.329,64,118,0.542,0.515,36,44,0.818,11,83,94,40,25,11,33,70,311,14.6,0.543,0.558,0.165,2.2,17,9.5,11.9,2.2,1.8,10.3,25.6,0,0.5,0.5,0.044,-0.6,-0.4,-0.9,0.2,4000000
Dewayne Dedmon,C,32,MIA,67,15,1065,164,290,0.566,19,47,0.404,145,243,0.597,0.598,75,100,0.75,105,281,386,47,24,42,70,174,422,15.9,0.632,0.162,0.345,11.4,29.4,20.6,6.7,1.1,4.2,17.3,16.9,1.5,2,3.5,0.157,-2.2,1.1,-1,0.3,7566667
DeMar DeRozan,PF,32,CHI,76,76,2743,774,1535,0.504,50,142,0.352,724,1393,0.52,0.521,520,593,0.877,56,336,392,374,68,24,181,178,2118,23.1,0.59,0.093,0.386,2.3,13.7,8,23.3,1.2,0.8,9.2,31.8,7,1.8,8.8,0.154,3.4,-0.9,2.5,3.1,27300000
Hamidou Diallo,SG,23,DET,58,29,1269,261,526,0.496,23,93,0.247,238,433,0.55,0.518,91,140,0.65,69,208,277,73,71,17,58,143,636,15.7,0.541,0.177,0.266,5.6,18.7,11.8,9.8,2.7,1.2,9,21.8,0.6,1.5,2.1,0.079,-1.2,0.7,-0.5,0.5,5200000
Gorgui Dieng,C,32,ATL,44,3,371,53,112,0.473,29,68,0.426,24,44,0.545,0.603,19,26,0.731,32,89,121,34,11,13,20,52,154,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,0.8,0.4,1.2,0.155,1.4,0.8,2.1,0.4,1836090
Spencer Dinwiddie,PG,28,TOT,67,51,1980,306,735,0.416,112,330,0.339,194,405,0.479,0.493,195,252,0.774,45,234,279,346,44,13,104,150,919,15.1,0.543,0.449,0.343,2.6,13,7.8,25.7,1.1,0.6,10.9,21.4,2.7,1.4,4.1,0.098,0.8,-0.4,0.3,1.2,20171427
Donte DiVincenzo,SG,25,TOT,42,1,1006,118,336,0.351,74,218,0.339,44,118,0.373,0.461,70,83,0.843,40,130,170,118,48,8,72,69,380,11.3,0.51,0.649,0.247,4.3,14,9.1,16.1,2.3,0.7,16.2,18.9,-0.1,0.9,0.7,0.035,-1.8,-0.5,-2.3,-0.1,4500000
Luka Dončić,PG,22,DAL,65,65,2301,641,1403,0.457,201,569,0.353,440,834,0.528,0.529,364,489,0.744,56,537,593,568,75,36,292,145,1847,25.1,0.571,0.406,0.349,2.7,26,14.3,46,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9,37096500
Luguentz Dort,SG,22,OKC,51,51,1665,293,726,0.404,130,391,0.332,163,335,0.487,0.493,161,191,0.843,38,174,212,88,46,18,88,149,877,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1,9.8,23.3,0.2,1.1,1.4,0.04,-1.5,-0.7,-2.3,-0.1,15277778
Ayo Dosunmu,SG,22,CHI,77,40,2110,278,535,0.52,70,186,0.376,208,349,0.596,0.585,53,78,0.679,27,187,214,256,60,29,108,182,679,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3,0.069,-1.9,-0.1,-2,0,1563518
Andre Drummond,C,28,TOT,73,36,1437,247,433,0.57,0,3,0,247,430,0.574,0.57,86,164,0.524,229,451,680,131,78,68,115,192,580,21,0.574,0.007,0.379,18,34.1,26.2,13.7,2.7,4.2,18.5,19,2,3.1,5.1,0.17,-0.1,1.4,1.3,1.2,3200000
Chris Duarte,SG,24,IND,55,39,1541,268,621,0.432,94,255,0.369,174,366,0.475,0.507,90,112,0.804,41,185,226,114,56,10,90,95,720,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1,3936960
Kevin Durant,PF,33,BRK,55,55,2047,578,1115,0.518,115,300,0.383,463,815,0.568,0.57,372,409,0.91,29,378,407,351,48,52,191,113,1643,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2,8.4,0.198,6.4,0.7,7.2,4.8,44119845
Anthony Edwards,SG,20,MIN,72,72,2466,549,1245,0.441,215,602,0.357,334,643,0.519,0.527,220,280,0.786,62,281,343,275,105,46,190,164,1533,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2,1.8,12.2,26.4,1.8,2.4,4.3,0.084,1.6,-0.4,1.2,2,10733400
Kessler Edwards,SF,21,BRK,48,23,987,110,267,0.412,48,136,0.353,62,131,0.473,0.502,16,19,0.842,44,128,172,31,29,24,42,85,284,8.3,0.516,0.509,0.071,5,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-0.2,0.9,0.6,0.031,-3.1,-0.8,-3.8,-0.5,1637966
CJ Elleby,SF,21,POR,58,28,1174,121,308,0.393,37,126,0.294,84,182,0.462,0.453,60,84,0.714,66,161,227,87,35,19,56,116,339,9.2,0.491,0.409,0.273,6,15.6,10.6,10.6,1.5,1.6,14,14.8,-0.1,0.5,0.4,0.016,-3.8,-1.5,-5.3,-1,1836090
Joel Embiid,C,27,PHI,68,68,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12,0.252,7.2,2,9.2,6.5,33616770
Drew Eubanks,C,24,TOT,71,31,1245,221,371,0.596,5,23,0.217,216,348,0.621,0.602,99,130,0.762,130,252,382,85,31,40,81,122,546,18,0.638,0.062,0.35,11,22.2,16.5,10.1,1.2,2.8,15.9,17.5,2.2,1.1,3.4,0.13,-0.5,-0.9,-1.4,0.2,1836090
Derrick Favors,C,30,OKC,39,18,653,94,182,0.516,2,16,0.125,92,166,0.554,0.522,16,25,0.64,58,126,184,25,17,12,9,62,206,13.6,0.534,0.088,0.137,9,20.2,14.5,5.9,1.3,1.7,4.5,13.4,0.8,0.7,1.4,0.105,-2.3,0.3,-2.1,0,10183800
Bruno Fernando,C,23,TOT,30,0,152,36,55,0.655,1,2,0.5,35,53,0.66,0.664,15,24,0.625,18,37,55,7,1,11,14,24,88,21.2,0.671,0.036,0.436,13,26.6,19.8,7.5,0.3,6.5,17.6,22.4,0.2,0.2,0.4,0.14,-0.4,0.2,-0.1,0.1,1836090
Dorian Finney-Smith,PF,28,DAL,80,80,2644,326,692,0.471,172,435,0.395,154,257,0.599,0.595,56,83,0.675,122,253,375,150,88,39,80,183,880,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,3.4,3.2,6.6,0.121,0.1,0.7,0.8,1.9,12402000
Malik Fitts,PF,24,TOT,15,0,63,8,19,0.421,5,10,0.5,3,9,0.333,0.553,0,0,0,2,15,17,5,0,0,2,4,21,10.7,0.553,0.526,0,3.5,25.2,14.7,12.7,0,0,9.5,14.6,0.1,0.1,0.1,0.097,-0.6,-0.5,-1.1,0,555217
Malachi Flynn,PG,23,TOR,44,5,537,72,183,0.393,30,90,0.333,42,93,0.452,0.475,15,24,0.625,10,53,63,70,20,4,13,45,189,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,0.5,0.5,1,0.092,-1.8,0.4,-1.5,0.1,2145720
Bryn Forbes,SG,28,TOT,75,2,1286,231,539,0.429,122,295,0.414,109,244,0.447,0.542,79,87,0.908,10,83,93,75,25,5,56,95,663,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,0.8,0.6,1.4,0.054,-0.7,-2.2,-2.9,-0.3,1836090
Evan Fournier,SG,29,NYK,80,80,2358,402,965,0.417,241,619,0.389,161,346,0.465,0.541,80,113,0.708,34,176,210,171,79,20,105,180,1125,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,1.5,2.2,3.7,0.075,-0.4,-0.3,-0.7,0.7,18000000
De'Aaron Fox,PG,24,SAC,59,59,2083,516,1092,0.473,74,249,0.297,442,843,0.524,0.506,261,348,0.75,25,206,231,330,68,25,168,172,1367,17.4,0.549,0.228,0.319,1.3,10.9,6,26.8,1.6,1,11.9,29.1,1.5,1,2.5,0.058,0.6,-1.2,-0.6,0.7,30351780
Markelle Fultz,PG,23,ORL,18,3,360,83,175,0.474,4,17,0.235,79,158,0.5,0.486,25,31,0.806,4,45,49,99,20,5,40,22,195,17.7,0.517,0.097,0.177,1.2,13.2,7.2,48.9,2.7,1.3,17.5,27.5,0,0.4,0.4,0.053,-0.1,0.4,0.2,0.2,16500000
Wenyen Gabriel,PF,24,TOT,26,5,358,54,110,0.491,8,28,0.286,46,82,0.561,0.527,25,42,0.595,39,58,97,14,5,11,16,68,141,12.5,0.549,0.255,0.382,11.8,17.2,14.5,5.6,0.7,2.7,11.1,17.4,0.4,0.3,0.7,0.09,-3.7,-2.1,-5.9,-0.4,1878720
Daniel Gafford,C,23,WAS,72,53,1444,285,411,0.693,0,1,0,285,410,0.695,0.693,107,153,0.699,155,252,407,68,30,99,65,170,677,21.8,0.708,0.002,0.372,12.1,19,15.6,7.3,1,5.8,12,16.7,4.4,1.6,6,0.198,1.1,0.5,1.6,1.3,1930681
Danilo Gallinari,PF,33,ATL,66,18,1672,259,597,0.434,112,294,0.381,147,303,0.485,0.528,141,156,0.904,35,273,308,101,28,12,38,93,771,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,2.8,0.8,3.6,0.105,1,-1.2,-0.2,0.8,16907880
Darius Garland,PG,22,CLE,68,68,2430,542,1173,0.462,174,454,0.383,368,719,0.512,0.536,215,241,0.892,39,185,224,583,89,7,248,115,1473,19,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,3.8,2.5,6.3,0.125,3.4,-0.8,2.6,2.8,8920795
Usman Garuba,PF,19,HOU,24,2,239,19,44,0.432,5,20,0.25,14,24,0.583,0.489,5,7,0.714,21,62,83,17,10,11,6,28,48,12.9,0.51,0.455,0.159,9.6,28.7,19.1,9.6,2,4.1,11.3,9.4,0.2,0.3,0.5,0.105,-1.8,0.9,-0.9,0.1,2471160
Rudy Gay,PF,35,UTA,55,1,1038,157,379,0.414,70,203,0.345,87,176,0.494,0.507,62,79,0.785,55,187,242,56,25,19,47,95,446,13,0.539,0.536,0.208,6,19.1,12.8,7.8,1.2,1.6,10.2,19.3,0.8,1.3,2.1,0.097,-0.7,-0.3,-1,0.3,6184500
Paul George,PF,31,LAC,31,31,1077,268,636,0.421,91,257,0.354,177,379,0.467,0.493,127,148,0.858,12,201,213,176,67,13,126,74,754,18.6,0.538,0.404,0.233,1.2,19.2,10.5,28.1,3,1,15.2,33.7,-0.6,1.9,1.3,0.057,1.8,1.9,3.7,1.6,42492492
Taj Gibson,C,36,NYK,52,4,946,86,166,0.518,15,38,0.395,71,128,0.555,0.563,42,52,0.808,88,141,229,32,22,40,27,137,229,12,0.606,0.229,0.313,9.8,16.3,13,4.9,1.2,4.2,12.5,10,1.4,1.2,2.7,0.135,-3,1,-2,0,1836090
Josh Giddey,SF,19,OKC,54,54,1700,281,670,0.419,56,213,0.263,225,457,0.492,0.461,56,79,0.709,98,323,421,345,51,20,171,88,674,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,6287400
Shai Gilgeous-Alexander,PG,23,OKC,56,56,1942,477,1052,0.453,89,297,0.3,388,755,0.514,0.496,328,405,0.81,37,241,278,331,71,46,154,142,1371,20.9,0.557,0.282,0.385,1.9,13,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,4.6,0.113,2.9,0.5,3.4,2.7,30913750
Anthony Gill,PF,29,WAS,44,0,463,62,109,0.569,14,26,0.538,48,83,0.578,0.633,42,52,0.808,33,52,85,27,5,11,18,58,180,14.7,0.682,0.239,0.477,8,12.2,10.2,8.3,0.5,2,12,14.4,1.1,0.2,1.4,0.14,-0.6,-1.3,-1.9,0,1836090
Rudy Gobert,C,29,UTA,66,66,2120,362,508,0.713,0,4,0,362,504,0.718,0.713,303,439,0.69,241,727,968,72,45,137,119,176,1027,24.7,0.732,0.008,0.864,12.9,36.3,25,5.1,1,5.7,14.5,16.9,7.3,4.3,11.7,0.264,2.9,1.7,4.6,3.6,38172414
Aaron Gordon,PF,26,DEN,75,75,2376,434,834,0.52,87,260,0.335,347,574,0.605,0.573,171,230,0.743,125,314,439,188,44,44,133,148,1126,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2,5.2,0.105,0.5,-1.1,-0.6,0.9,19690909
Eric Gordon,SG,33,HOU,57,46,1669,268,564,0.475,124,301,0.412,144,263,0.548,0.585,105,135,0.778,15,98,113,154,28,18,107,63,765,12.1,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.6,1.5,-0.1,1.4,0.04,-0.1,-2.2,-2.3,-0.1,19568360
Devonte' Graham,PG,26,NOP,76,63,2162,296,815,0.363,192,563,0.341,104,252,0.413,0.481,118,140,0.843,37,140,177,316,71,12,105,95,902,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21,1.6,0.5,10.7,19.5,1.6,1.2,2.8,0.062,0.2,-1.2,-1,0.5,11550000
Jerami Grant,PF,27,DET,47,47,1500,298,699,0.426,91,254,0.358,207,445,0.465,0.491,217,259,0.838,28,163,191,111,44,49,85,107,904,16.1,0.556,0.363,0.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,1.2,1.1,2.3,0.075,1.4,-0.2,1.2,1.2,20955000
Danny Green,SF,34,PHI,62,28,1353,126,320,0.394,103,271,0.38,23,49,0.469,0.555,11,14,0.786,32,125,157,64,60,37,45,105,366,9.5,0.561,0.847,0.044,2.7,10.1,6.5,6.5,2.2,2.5,12.1,12.3,0.3,1.6,1.9,0.067,-1.4,0.8,-0.5,0.5,10000000
Draymond Green,PF,31,GSW,46,44,1329,135,257,0.525,16,54,0.296,119,203,0.586,0.556,60,91,0.659,45,291,336,320,61,50,139,136,346,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,0.8,2.8,3.6,0.131,-1.4,4.6,3.2,1.8,25806468
Jalen Green,SG,19,HOU,67,67,2138,406,954,0.426,157,458,0.343,249,496,0.502,0.508,188,236,0.797,33,193,226,176,44,18,135,103,1157,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,9441840
JaMychal Green,PF,31,DEN,67,8,1085,159,327,0.486,33,124,0.266,126,203,0.621,0.537,81,93,0.871,81,200,281,59,43,26,57,158,432,14.1,0.587,0.379,0.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,1.2,1.4,2.7,0.118,-2,0.1,-1.8,0,10036090
Javonte Green,SF,28,CHI,65,45,1519,176,325,0.542,36,101,0.356,140,224,0.625,0.597,80,96,0.833,91,185,276,60,67,32,30,132,468,14,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,2.9,1.5,4.4,0.139,-0.6,0.7,0.1,0.8,1815677
Jeff Green,PF,35,DEN,75,63,1849,277,529,0.524,53,168,0.315,224,361,0.62,0.574,165,198,0.833,41,190,231,96,28,27,71,151,772,12.5,0.627,0.318,0.374,2.6,11.1,7,7.3,0.7,1.3,10.3,16.3,2.7,1.2,3.9,0.101,-1.2,-1.3,-2.5,-0.2,4500000
Josh Green,SG,21,DAL,67,3,1039,130,256,0.508,28,78,0.359,102,178,0.573,0.563,31,45,0.689,52,109,161,79,45,14,44,115,319,11.9,0.578,0.305,0.176,5.6,11.7,8.6,11,2.2,1.2,13.8,13.9,1,1.4,2.4,0.111,-2.4,1.4,-1,0.3,3098400
Quentin Grimes,SG,21,NYK,46,6,786,95,235,0.404,72,189,0.381,23,46,0.5,0.557,13,19,0.684,24,70,94,44,31,11,28,72,275,10.7,0.565,0.804,0.081,3.2,9.8,6.4,8.5,2,1.4,10.3,15.1,0.6,0.9,1.4,0.087,-1.2,0.9,-0.3,0.3,2277000
Rui Hachimura,PF,23,WAS,42,13,943,187,381,0.491,55,123,0.447,132,258,0.512,0.563,46,66,0.697,25,135,160,48,23,9,33,53,475,14.9,0.579,0.323,0.173,3,15.6,9.4,7.9,1.2,0.8,7.4,20.9,0.9,0.6,1.4,0.073,0.2,-1.7,-1.4,0.1,6263188
Tyrese Haliburton,SG,21,TOT,77,77,2695,430,909,0.473,161,389,0.414,269,520,0.517,0.562,160,190,0.842,61,250,311,628,134,49,199,121,1181,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19,5.2,1.8,7,0.125,2.7,-0.1,2.6,3.1,4215120
Tyler Hall,SG,24,NYK,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-8.1,-0.5,-8.5,0,1637966
R.J. Hampton,SG,20,ORL,64,14,1402,175,457,0.383,64,183,0.35,111,274,0.405,0.453,75,117,0.641,23,171,194,158,42,13,87,101,489,8.5,0.481,0.4,0.256,1.7,12.9,7.3,16.9,1.4,0.8,14.6,18.4,-1.3,1.1,-0.2,-0.005,-4,-0.1,-4.1,-0.7,2412840
Tim Hardaway Jr.,SG,29,DAL,42,20,1245,209,530,0.394,102,304,0.336,107,226,0.473,0.491,78,103,0.757,13,143,156,92,38,6,34,74,598,12.7,0.52,0.574,0.194,1.2,12.8,7,11.4,1.5,0.4,5.6,22,0.5,1.5,2,0.077,-0.4,0.2,-0.2,0.6,19602273
James Harden,PG,32,TOT,65,65,2419,407,992,0.41,148,448,0.33,259,544,0.476,0.485,470,536,0.877,55,445,500,667,82,36,284,153,1432,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,4.9,2.7,7.6,0.152,3.7,0.3,4,3.7,33000000
Maurice Harkless,SF,28,SAC,47,24,863,83,181,0.459,31,101,0.307,52,80,0.65,0.544,20,28,0.714,12,100,112,23,29,24,31,77,217,7.7,0.561,0.558,0.155,1.5,12.7,7.1,3.6,1.6,2.4,13.8,11.2,-0.1,0.6,0.5,0.026,-3.7,0.4,-3.3,-0.3,4564980
Gary Harris,SG,27,ORL,61,30,1730,240,553,0.434,116,302,0.384,124,251,0.494,0.539,83,95,0.874,36,86,122,108,59,9,61,112,679,10.9,0.571,0.546,0.172,2.2,5.3,3.7,9.5,1.6,0.5,9.3,16.4,1.1,1,2.2,0.06,-2,-0.4,-2.4,-0.2,13000000
Joe Harris,SF,30,BRK,14,14,423,56,124,0.452,41,88,0.466,15,36,0.417,0.617,5,6,0.833,5,51,56,14,7,2,16,31,158,9.6,0.624,0.71,0.048,1.3,12.8,7.2,4.5,0.8,0.4,11.2,14.5,0.3,0.2,0.5,0.06,-0.9,-0.5,-1.4,0.1,18642857
Tobias Harris,PF,29,PHI,73,73,2543,493,1022,0.482,101,275,0.367,392,747,0.525,0.532,170,202,0.842,77,419,496,252,47,43,116,164,1257,15.9,0.566,0.269,0.198,3.4,18.1,10.9,15.9,0.9,1.5,9.5,21.7,3,2.6,5.6,0.105,0.6,-0.6,0,1.3,37633050
Josh Hart,SG,26,TOT,54,53,1791,287,569,0.504,73,213,0.343,214,356,0.601,0.569,160,211,0.758,62,326,388,224,61,13,114,150,807,16.1,0.61,0.374,0.371,3.7,20.7,12,18.9,1.7,0.7,14.7,18.6,2.8,1.5,4.4,0.117,0.5,0.5,0.9,1.3,12960000
Isaiah Hartenstein,C,23,LAC,68,0,1216,229,366,0.626,14,30,0.467,215,336,0.64,0.645,91,132,0.689,117,215,332,160,50,77,84,167,563,22,0.664,0.082,0.361,10.5,18.2,14.5,20.5,2,5.4,16.5,18.4,3.3,2.2,5.5,0.215,1.4,3.1,4.5,2,7804879
Sam Hauser,SF,24,BOS,26,0,158,23,50,0.46,19,44,0.432,4,6,0.667,0.65,0,0,0,5,24,29,10,1,2,2,7,65,14.8,0.65,0.88,0,3.5,16,9.9,9.1,0.3,1.2,3.8,14.5,0.4,0.2,0.6,0.171,2.7,-0.3,2.3,0.2,1637966
Jaxson Hayes,C,21,NOP,70,28,1398,245,398,0.616,20,57,0.351,225,341,0.66,0.641,144,188,0.766,115,200,315,43,33,55,54,155,654,18.5,0.68,0.143,0.472,8.9,16.2,12.5,4.7,1.2,3.8,10.1,16.4,3.7,1.3,5.1,0.174,0.6,-0.3,0.2,0.8,6803012
Killian Hayes,PG,20,DET,66,40,1647,176,459,0.383,44,167,0.263,132,292,0.452,0.431,57,74,0.77,36,174,210,277,78,35,111,183,453,9.3,0.461,0.364,0.161,2.2,12,6.9,24.6,2.3,1.9,18.4,15.7,-1,1.5,0.5,0.014,-4.3,0.8,-3.5,-0.6,5837760
