jugador,equipo,salario
Stephen Curry,GSW,48070014
Russell Westbrook,LAL,47063478
LeBron James,LAL,44474988
Kevin Durant,BRK,44119845
Bradley Beal,WAS,43279250
Damian Lillard,POR,42492492
Giannis Antetokounmpo,MIL,42492492
Kawhi Leonard,LAC,42492492
Paul George,LAC,42492492
John Wall,HOU,47345760
Klay Thompson,GSW,40600080
Rudy Gobert,MIN,38172414
Anthony Davis,LAL,37980720
Khris Middleton,MIL,37948276
Jimmy Butler,MIA,37653300
Tobias Harris,PHI,37633050
Luka Dončić,DAL,37096500
Trae Young,ATL,37096500
Zach LaVine,CHI,37096500
Kyrie Irving,BRK,36934550
Ben Simmons,BRK,35448672
Pascal Siakam,TOR,35448672
Devin Booker,PHO,33833400
Karl-Anthony Towns,MIN,33833400
Kristaps Porziņģis,WAS,33833400
Jrue Holiday,MIL,33665040
Joel Embiid,PHI,33616770
Andrew Wiggins,GSW,33616770
CJ McCollum,NOP,33333333
Nikola Jokić,DEN,33047803
James Harden,PHI,33000000
Brandon Ingram,NOP,31650600
Jamal Murray,DEN,31650600
D'Angelo Russell,MIN,31377750
Shai Gilgeous-Alexander,OKC,30913750
Michael Porter Jr.,DEN,30913750
Deandre Ayton,PHO,30913750
De'Aaron Fox,SAC,30351780
Bam Adebayo,MIA,30351780
Donovan Mitchell,CLE,30351780
Jayson Tatum,BOS,30351780
Gordon Hayward,CHO,30075000
Jaren Jackson Jr.,MEM,28946605
Kevin Love,CLE,28942830
Jaylen Brown,BOS,28741071
Chris Paul,PHO,28400000
Kyle Lowry,MIA,28333334
Jalen Brunson,NYK,27733332
Kemba Walker,OKC,9165471
DeMar DeRozan,CHI,27300000
Al Horford,BOS,26500000
Draymond Green,GSW,25806468
Julius Randle,NYK,23760000
John Collins,ATL,23500000
Mike Conley,UTA,22680000
Malcolm Brogdon,BOS,22600000
Anfernee Simons,POR,22321429
Nikola Vučević,CHI,22000000
Terry Rozier,CHO,21486316
Fred VanVleet,TOR,21250000
Buddy Hield,IND,21177750
Jerami Grant,POR,20955000
Spencer Dinwiddie,DAL,20171427
Mikal Bridges,PHO,20100000
Jarrett Allen,CLE,20000000
Aaron Gordon,DEN,19690909
Tim Hardaway Jr.,DAL,19602273
Eric Gordon,HOU,19568360
Bojan Bogdanović,DET,19550000
Lonzo Ball,CHI,19534884
Caris LeVert,CLE,18796296
Clint Capela,ATL,18706896
Joe Harris,BRK,18642857
Domantas Sabonis,SAC,18500000
Harrison Barnes,SAC,18352273
Evan Fournier,NYK,18000000
Myles Turner,IND,18000000
Bogdan Bogdanović,ATL,18000000
Steven Adams,MEM,17926829
Gary Trent Jr.,TOR,17505000
Jonathan Isaac,ORL,17400000
OG Anunoby,TOR,17357143
Marcus Smart,BOS,17207142
Mitchell Robinson,NYK,17045454
Duncan Robinson,MIA,16902000
Derrick White,BOS,16892857
Norman Powell,LAC,16758621
Dejounte Murray,ATL,16571120
Markelle Fultz,ORL,16500000
Lauri Markkanen,UTA,16475454
Marcus Morris,LAC,16372093
Dāvis Bertāns,DAL,16000000
Jusuf Nurkić,POR,15625000
Malik Beasley,UTA,15558035
Luguentz Dort,OKC,15277778
Tyus Jones,MEM,15000000
Jonas Valančiūnas,NOP,14700000
Derrick Rose,NYK,14520730
Kevin Huerter,SAC,14508929
Luke Kennard,LAC,14415545
Will Barton,WAS,14375000
Christian Wood,DAL,14317459
Wendell Carter Jr.,ORL,14150000
Kentavious Caldwell-Pope,DEN,14004703
Brook Lopez,MIL,13906976
Doug McDermott,SAS,13750000
Zion Williamson,NOP,13534817
Jordan Clarkson,UTA,13340000
Kyle Kuzma,WAS,13000000
Gary Harris,ORL,13000000
Patrick Beverley,LAL,13000000
Josh Hart,POR,12960000
Kelly Olynyk,UTA,12804878
Chris Boucher,TOR,12690000
Kelly Oubre Jr.,CHO,12600000
Marvin Bagley III,DET,12500000
Dorian Finney-Smith,DAL,12402000
Robert Covington,LAC,12307692
Josh Richardson,SAS,12196094
Ja Morant,MEM,12119440
Devonte' Graham,NOP,11550000
Terrence Ross,ORL,11500000
Dillon Brooks,MEM,11400000
Richaun Holmes,SAC,11215260
Reggie Jackson,LAC,11215260
Dwight Powell,DAL,11080125
Paolo Banchero,ORL,11055120
Robert Williams,BOS,10937502
RJ Barrett,NYK,10900635
Bobby Portis,MIL,10843350
Nicolas Batum,LAC,19700319
Anthony Edwards,MIN,10733400
Cade Cunningham,DET,10552800
P.J. Tucker,PHI,10490000
Danilo Gallinari,SAS,16907880
Mo Bamba,ORL,10300000
Talen Horton-Tucker,UTA,10260000
Jae Crowder,PHO,10183800
Derrick Favors,OKC,10183800
Ivica Zubac,LAC,10123457
Reggie Bullock,DAL,10012800
Alec Burks,DET,10012800
Danny Green,MEM,10000000
Chet Holmgren,OKC,9891240
De'Andre Hunter,ATL,9835881
Larry Nance Jr.,NOP,9672727
James Wiseman,GSW,9603360
Landry Shamet,PHO,9500000
Malik Monk,SAC,9472219
Jalen Green,HOU,9441840
Jakob Poeltl,SAS,9398148
Dario Šarić,PHO,9240000
Nerlens Noel,DET,9240000
Royce O'Neale,BRK,9200000
Kemba Walker,DET,9165471
Monte Morris,WAS,9125000
Mason Plumlee,CHO,9080417
Alex Caruso,CHI,9030000
Maxi Kleber,DAL,9000000
Darius Garland,CLE,8920795
Jabari Smith Jr.,HOU,8882640
Nicolas Batum,CHO,19700319
Kyle Anderson,MIN,8780488
Victor Oladipo,MIA,8750000
Daniel Theis,IND,8694369
LaMelo Ball,CHO,8623920
Nic Claxton,BRK,8500000
Grayson Allen,MIL,8500000
Seth Curry,BRK,8496653
Evan Mobley,CLE,8478720
Gary Payton II,POR,8300000
De'Anthony Melton,PHI,8250000
JaMychal Green,OKC,10036090
T.J. McConnell,IND,8100000
Keegan Murray,SAC,8008440
Kevon Looney,GSW,8000000
Thaddeus Young,TOR,8000000
DeAndre Jordan,DET,9663997
Isaiah Hartenstein,NYK,7804879
Delon Wright,WAS,7804878
Patrick Williams,CHI,7775400
Scottie Barnes,TOR,7644600
Cedi Osman,CLE,7426088
Coby White,CHI,7413955
Zach Collins,SAS,7350000
Taurean Prince,MIN,7295000
Jaden Ivey,DET,7252200
Jae'Sean Tate,HOU,7065217
Isaac Okoro,CLE,7040880
Cody Martin,CHO,7000000
Jalen Suggs,ORL,6922320
Jaxson Hayes,NOP,6803012
Khem Birch,TOR,6667500
Bennedict Mathurin,IND,6586800
Caleb Martin,MIA,6479000
John Wall,LAC,47345760
Patty Mills,BRK,6479000
Danilo Gallinari,BOS,16907880
Joe Ingles,MIL,6479000
Lonnie Walker IV,LAL,6479000
Bruce Brown,DEN,6479000
Onyeka Okongwu,ATL,6395160
Justin Holiday,ATL,6292440
Josh Giddey,OKC,6287400
Rui Hachimura,WAS,6263188
Rudy Gay,UTA,6184500
Shaedon Sharpe,POR,6012960
Cameron Payne,PHO,6000000
Otto Porter Jr.,TOR,6000000
Cam Reddish,NYK,5954454
Cameron Johnson,PHO,5887899
Ricky Rubio,CLE,5853659
Killian Hayes,DET,5837760
P.J. Washington,CHO,5808435
Jonathan Kuminga,GSW,5739840
Pat Connaughton,MIL,5728393
Tyler Herro,MIA,5722116
Romeo Langford,SAS,5634257
Dyson Daniels,NOP,5508600
JaVale McGee,DAL,5461219
Obi Toppin,NYK,5348280
Franz Wagner,ORL,5258280
Kendrick Nunn,LAL,5250000
Hamidou Diallo,DET,5200000
Garrett Temple,NOP,5155500
Cory Joseph,DET,5155500
Torrey Craig,PHO,5121951
Jeremy Sochan,SAS,5063520
David Nwaba,HOU,5022000
Nickeil Alexander-Walker,UTA,5009633
Furkan Korkmaz,PHI,5000000
Deni Avdija,WAS,4916160
Davion Mitchell,SAC,4833600
Johnny Davis,WAS,4810320
Goga Bitadze,IND,4765339
Ish Smith,DEN,4725000
Dewayne Dedmon,MIA,7566667
Jalen Smith,IND,4670160
Ziaire Williams,MEM,4591680
Ousmane Dieng,OKC,4569840
Maurice Harkless,OKC,4564980
Donte DiVincenzo,GSW,4500000
Jeff Green,DEN,4500000
Devin Vassell,SAS,4437000
Matisse Thybulle,PHI,4379527
Jarred Vanderbilt,UTA,4374000
James Bouknight,CHO,4362240
Brandon Clarke,MEM,4343920
Jalen Williams,OKC,4341480
Grant Williams,BOS,4306281
Darius Bazley,OKC,4264629
Ty Jerome,OKC,4220057
Tyrese Haliburton,IND,4215120
Nassir Little,POR,4171548
Joshua Primo,SAS,4144320
Jalen Duren,DET,4124280
Danuel House Jr.,PHI,4105000
Justise Winslow,POR,4097561
Dylan Windler,CLE,4037278
Kira Lewis Jr.,NOP,4004280
Terence Davis,SAC,4000000
George Hill,MIL,4000000
Chris Duarte,IND,3936960
Jevon Carter,BRK,6025000
Alex Len,SAC,3918600
Ochai Agbaji,UTA,3918360
Jordan Poole,GSW,3901399
Keldon Johnson,SAS,3873025
Aaron Nesmith,IND,3804360
Moses Moody,GSW,3740160
Mark Williams,CHO,3722040
Cole Anthony,ORL,3613680
Corey Kispert,WAS,3552840
AJ Griffin,ATL,3536160
Mike Muscala,OKC,3500000
Boban Marjanović,HOU,3500000
Georges Niang,PHI,3465000
Isaiah Stewart,DET,3433320
Chuma Okeke,ORL,3433320
Trey Burke,HOU,3423750
Amir Coffey,LAC,3395062
Alperen Şengün,HOU,3375360
Tari Eason,HOU,3359160
Aleksej Pokusevski,OKC,3261480
Kevin Porter Jr.,HOU,3217631
Trey Murphy III,NOP,3206520
Andre Drummond,CHI,3200000
Derrick Jones Jr.,CHI,3200000
Dalen Terry,CHI,3191400
Josh Green,DAL,3098400
Jake LaRavia,MEM,3047640
Tre Mann,OKC,3046200
Sterling Brown,HOU,3000000
Kevin Knox,DET,3000000
Saddiq Bey,DET,2959080
Malaki Branham,SAS,2925600
Kai Jones,CHO,2909040
Dewayne Dedmon,DET,7566667
Andrew Nicholson,POR,2844430
Precious Achiuwa,TOR,2840160
Christian Braun,DEN,2808600
Jalen Johnson,ATL,2792640
Tyrese Maxey,PHI,2726880
Walker Kessler,UTA,2696400
Keon Johnson,POR,2681040
Trey Lyles,SAC,2625000
Zeke Nnaji,DEN,2617800
David Roddy,MEM,2588640
Isaiah Jackson,IND,2573760
MarJon Beauchamp,MIL,2485200
Leandro Bolmaro,UTA,2471160
Usman Garuba,HOU,2471160
Willy Hernangómez,NOP,2443581
R.J. Hampton,ORL,2412840
Blake Wesley,SAS,2385480
Josh Christopher,HOU,2372160
Stanley Johnson,UTA,2351521
Immanuel Quickley,NYK,2316240
John Konchar,MEM,2300000
Damian Jones,LAL,2298385
Quentin Grimes,NYK,2277000
Nikola Jović,MIA,2239920
Payton Pritchard,BOS,2239200
Vlatko Čančar,DEN,2234359
Patrick Baldwin Jr.,GSW,2226000
TyTy Washington Jr.,HOU,2210040
Bones Hyland,DEN,2201520
Bol Bol,ORL,2200000
Peyton Watson,DEN,2193960
Marquese Chriss,HOU,2193920
Udoka Azubuike,UTA,2174880
Jaden McDaniels,MIN,2161440
Jordan McLaughlin,MIN,2160000
Malachi Flynn,TOR,2145720
Cam Thomas,BRK,2138160
Luke Kornet,BOS,2133278
D.J. Wilson,TOR,2133278
Desmond Bane,MEM,2130240
Jaden Springer,PHI,2125200
Day'Ron Sharpe,BRK,2109480
Jevon Carter,MIL,6025000
Santi Aldama,MEM,2094120
Tony Bradley,CHI,2036318
Frank Ntilikina,DAL,2036318
Kenrich Williams,OKC,2000000
Caleb Houstan,ORL,2000000
Jeremiah Robinson-Earl,OKC,2000000
Garrison Mathews,HOU,2000000
Shake Milton,PHI,1997718
Edmond Sumner,BRK,1968175
Daniel Gafford,WAS,1930681
Terance Mann,LAC,1930681
Isaiah Roby,SAS,1930681
Dean Wade,CLE,1930681
Jalen McDaniels,CHO,1930681
Naz Reid,MIN,1930681
Jaylen Nowell,MIN,1930681
Chimezie Metu,SAC,1910860
Davon Reed,DEN,1902133
Killian Tillie,MEM,1901625
Théo Maledon,OKC,1900000
Svi Mykhailiuk,TOR,1878720
Thanasis Antetokounmpo,MIL,1878720
Keita Bates-Diop,SAS,1878720
Moritz Wagner,ORL,1878720
Wenyen Gabriel,LAL,1878720
Oshae Brissett,IND,1846738
Anthony Gill,WAS,1836090
Taj Gibson,WAS,1836090
Juancho Hernangómez,TOR,1836090
Gorgui Dieng,SAS,1836090
Drew Eubanks,POR,1836090
Bismack Biyombo,PHO,1836090
Josh Okogie,PHO,1836090
Damion Lee,PHO,1836090
Bryn Forbes,MIN,1836090
Serge Ibaka,MIL,1836090
Wesley Matthews,MIL,1836090
Thomas Bryant,LAL,1836090
Troy Brown Jr.,LAL,1836090
Juan Toscano-Anderson,LAL,1836090
JaMychal Green,GSW,10036090
Rodney McGruder,DET,1836090
DeAndre Jordan,DEN,9663997
Theo Pinson,DAL,1836090
Robin Lopez,CLE,1836090
Raul Neto,CLE,1836090
T.J. Warren,BRK,1836090
Frank Kaminsky,ATL,1836090
Aaron Holiday,ATL,1836090
Austin Rivers,MIN,1836090
Nathan Knight,MIN,1836090
Matthew Dellavedova,SAC,1836090
Sam Merrill,SAC,1836090
CJ Elleby,MIN,1836090
Luca Vildoza,MIL,1836090
Moses Brown,LAC,1836090
Bruno Fernando,HOU,1836090
Javonte Green,CHI,1815677
Max Strus,MIA,1815677
Gabe Vincent,MIA,1815677
Herbert Jones,NOP,1785000
Vernon Carey Jr.,WAS,1782621
Xavier Tillman Sr.,MEM,1782621
Tyrell Terry,DAL,1782621
Tre Jones,SAS,1782621
Isaiah Joe,PHI,1782621
Paul Reed,PHI,1782621
Naji Marshall,NOP,1782621
Deividas Sirvydis,IND,1782621
Kenyon Martin Jr.,HOU,1782621
Lamar Stevens,CLE,1782621
Nick Richards,CHO,1782621
Saben Lee,UTA,1752638
Devin Cannady,ORL,1752638
Haywood Highsmith,MIA,1752638
Omer Yurtseven,MIA,1752638
Jericho Sims,NYK,1639842
Sam Hauser,BOS,1637966
Carlik Jones,CHI,1637966
Kessler Edwards,BRK,1637966
Trevelin Queen,PHI,1637966
Justin Champagnie,TOR,1637966
Lindell Wigginton,MIL,1637966
Jay Huff,LAL,1637966
Xavier Moon,LAC,1637966
Mac McClung,GSW,1637966
McKinley Wright IV,DAL,1637966
Tyler Hall,DAL,1637966
Isaiah Todd,WAS,1575000
Trendon Watford,POR,1563518
Jared Butler,UTA,1563518
Greg Brown III,POR,1563518
Miles McBride,NYK,1563518
Jose Alvarado,NOP,1563518
Jason Preston,LAC,1563518
Brandon Boston Jr.,LAC,1563518
Daishen Nix,HOU,1563518
Isaiah Livers,DET,1563518
JT Thor,CHO,1563518
Marko Simonovic,CHI,1563518
Vit Krejci,ATL,1563518
Terry Taylor,IND,1563518
Charles Bassey,PHI,1563518
Jock Landale,PHO,1563518
Dalano Banton,TOR,1563518
Aaron Wiggins,OKC,1563518
Austin Reaves,LAL,1563518
Ayo Dosunmu,CHI,1563518
Eric Bledsoe,POR,1300000
Kennedy Chandler,MEM,1200000
Jaden Hardy,DAL,1017781
Max Christie,LAL,1017781
Jabari Walker,POR,1017781
Isaiah Miller,POR,1017781
Michael Foster Jr.,PHI,1017781
Orlando Robinson,MIA,1017781
Adonis Arms,DEN,1017781
Kellan Grady,DEN,1017781
Javon Freeman-Liberty,CHI,1017781
Kyle Singler,OKC,999200
Nik Stauskas,IND,702311
Juwan Morgan,IND,576230
Malik Fitts,IND,555217
D.J. Augustin,HOU,333333
Didi Louzada,POR,268032
Wendell Moore Jr.,MIN,230620
Ish Wainright,TOR,NA
Troy Williams,HOU,122741
Demetrius Jackson,BOS,92857
Armoni Brooks,TOR,NA
